2025-09-21 18:45:46,792 | config_validator |     INFO | logger.py:86 | info() | === ログセッション開始: 2025-09-21 18:45:46.792597 ===
2025-09-21 18:45:46,793 | config_validator |     INFO | logger.py:86 | info() | 設定ファイルの読み込み | Data: {"config_path": "configs/default.yaml"}
2025-09-21 18:45:46,794 | config_validator |     INFO | logger.py:86 | info() | 設定の検証を開始 | Data: {"config_keys": ["environment", "robot", "rewards", "termination", "training", "save", "evaluation", "logging"]}
2025-09-21 18:45:46,794 | config_validator |  WARNING | logger.py:93 | warning() | ファイルが見つかりません: bittle.urdf
2025-09-21 18:45:46,794 | config_validator |     INFO | logger.py:86 | info() | 設定の検証が成功しました
2025-09-21 18:45:46,795 | config_validator |     INFO | logger.py:86 | info() | 設定の検証を開始 | Data: {"config_keys": ["environment", "robot", "rewards", "termination", "training", "save", "evaluation", "logging"]}
2025-09-21 18:45:46,795 | config_validator |  WARNING | logger.py:93 | warning() | ファイルが見つかりません: bittle.urdf
2025-09-21 18:45:46,795 | config_validator |     INFO | logger.py:86 | info() | 設定の検証が成功しました
2025-09-21 18:45:47,143 | config_validator |     INFO | logger.py:86 | info() | 設定の検証を開始 | Data: {"config_keys": ["environment", "robot", "rewards", "termination", "training", "save", "evaluation", "logging"]}
2025-09-21 18:45:47,143 | config_validator |  WARNING | logger.py:93 | warning() | ファイルが見つかりません: bittle.urdf
2025-09-21 18:45:47,143 | config_validator |     INFO | logger.py:86 | info() | 設定の検証が成功しました
2025-09-21 18:45:47,330 | config_validator |     INFO | logger.py:86 | info() | 設定の検証を開始 | Data: {"config_keys": ["environment", "robot", "rewards", "termination", "training", "save", "evaluation", "logging"]}
2025-09-21 18:45:47,330 | config_validator |  WARNING | logger.py:93 | warning() | ファイルが見つかりません: bittle.urdf
2025-09-21 18:45:47,330 | config_validator |     INFO | logger.py:86 | info() | 設定の検証が成功しました
2025-09-21 18:45:47,519 | config_validator |     INFO | logger.py:86 | info() | 設定の検証を開始 | Data: {"config_keys": ["environment", "robot", "rewards", "termination", "training", "save", "evaluation", "logging"]}
2025-09-21 18:45:47,519 | config_validator |  WARNING | logger.py:93 | warning() | ファイルが見つかりません: bittle.urdf
2025-09-21 18:45:47,519 | config_validator |     INFO | logger.py:86 | info() | 設定の検証が成功しました
2025-09-21 18:45:47,707 | config_validator |     INFO | logger.py:86 | info() | 設定の検証を開始 | Data: {"config_keys": ["environment", "robot", "rewards", "termination", "training", "save", "evaluation", "logging"]}
2025-09-21 18:45:47,707 | config_validator |  WARNING | logger.py:93 | warning() | ファイルが見つかりません: bittle.urdf
2025-09-21 18:45:47,708 | config_validator |     INFO | logger.py:86 | info() | 設定の検証が成功しました
