2025-09-20 10:08:46,530 | config_validator |     INFO | logger.py:86 | info() | === ログセッション開始: 2025-09-20 10:08:46.530293 ===
2025-09-20 10:08:46,531 | config_validator |     INFO | logger.py:86 | info() | 設定ファイルの読み込み | Data: {"config_path": "configs/production.yaml"}
2025-09-20 10:08:46,532 | config_validator |     INFO | logger.py:86 | info() | 設定の検証を開始 | Data: {"config_keys": ["environment", "robot", "rewards", "termination", "training", "save", "evaluation", "logging"]}
2025-09-20 10:08:46,532 | config_validator |  WARNING | logger.py:93 | warning() | ファイルが見つかりません: bittle.urdf
2025-09-20 10:08:46,532 | config_validator |     INFO | logger.py:86 | info() | 設定の検証が成功しました
2025-09-20 10:08:46,533 | config_validator |     INFO | logger.py:86 | info() | 設定の検証を開始 | Data: {"config_keys": ["environment", "robot", "rewards", "termination", "training", "save", "evaluation", "logging"]}
2025-09-20 10:08:46,533 | config_validator |  WARNING | logger.py:93 | warning() | ファイルが見つかりません: bittle.urdf
2025-09-20 10:08:46,533 | config_validator |     INFO | logger.py:86 | info() | 設定の検証が成功しました
2025-09-20 10:08:46,919 | config_validator |     INFO | logger.py:86 | info() | 設定の検証を開始 | Data: {"config_keys": ["environment", "robot", "rewards", "termination", "training", "save", "evaluation", "logging"]}
2025-09-20 10:08:46,919 | config_validator |  WARNING | logger.py:93 | warning() | ファイルが見つかりません: bittle.urdf
2025-09-20 10:08:46,919 | config_validator |     INFO | logger.py:86 | info() | 設定の検証が成功しました
