2025-09-21 10:18:14,471 | config_validator |     INFO | logger.py:86 | info() | === ログセッション開始: 2025-09-21 10:18:14.471338 ===
2025-09-21 10:18:14,472 | config_validator |     INFO | logger.py:86 | info() | 設定ファイルの読み込み | Data: {"config_path": "configs/default.yaml"}
2025-09-21 10:18:14,473 | config_validator |     INFO | logger.py:86 | info() | 設定の検証を開始 | Data: {"config_keys": ["environment", "robot", "rewards", "termination", "training", "save", "evaluation", "logging"]}
2025-09-21 10:18:14,473 | config_validator |  WARNING | logger.py:93 | warning() | ファイルが見つかりません: bittle.urdf
2025-09-21 10:18:14,473 | config_validator |     INFO | logger.py:86 | info() | 設定の検証が成功しました
2025-09-21 10:18:14,474 | config_validator |     INFO | logger.py:86 | info() | 設定の検証を開始 | Data: {"config_keys": ["environment", "robot", "rewards", "termination", "training", "save", "evaluation", "logging"]}
2025-09-21 10:18:14,474 | config_validator |  WARNING | logger.py:93 | warning() | ファイルが見つかりません: bittle.urdf
2025-09-21 10:18:14,474 | config_validator |     INFO | logger.py:86 | info() | 設定の検証が成功しました
2025-09-21 10:18:14,845 | config_validator |     INFO | logger.py:86 | info() | 設定の検証を開始 | Data: {"config_keys": ["environment", "robot", "rewards", "termination", "training", "save", "evaluation", "logging"]}
2025-09-21 10:18:14,845 | config_validator |  WARNING | logger.py:93 | warning() | ファイルが見つかりません: bittle.urdf
2025-09-21 10:18:14,846 | config_validator |     INFO | logger.py:86 | info() | 設定の検証が成功しました
2025-09-21 10:18:15,044 | config_validator |     INFO | logger.py:86 | info() | 設定の検証を開始 | Data: {"config_keys": ["environment", "robot", "rewards", "termination", "training", "save", "evaluation", "logging"]}
2025-09-21 10:18:15,044 | config_validator |  WARNING | logger.py:93 | warning() | ファイルが見つかりません: bittle.urdf
2025-09-21 10:18:15,044 | config_validator |     INFO | logger.py:86 | info() | 設定の検証が成功しました
2025-09-21 10:18:15,250 | config_validator |     INFO | logger.py:86 | info() | 設定の検証を開始 | Data: {"config_keys": ["environment", "robot", "rewards", "termination", "training", "save", "evaluation", "logging"]}
2025-09-21 10:18:15,250 | config_validator |  WARNING | logger.py:93 | warning() | ファイルが見つかりません: bittle.urdf
2025-09-21 10:18:15,250 | config_validator |     INFO | logger.py:86 | info() | 設定の検証が成功しました
2025-09-21 10:18:15,443 | config_validator |     INFO | logger.py:86 | info() | 設定の検証を開始 | Data: {"config_keys": ["environment", "robot", "rewards", "termination", "training", "save", "evaluation", "logging"]}
2025-09-21 10:18:15,443 | config_validator |  WARNING | logger.py:93 | warning() | ファイルが見つかりません: bittle.urdf
2025-09-21 10:18:15,443 | config_validator |     INFO | logger.py:86 | info() | 設定の検証が成功しました
2025-09-21 10:18:15,633 | config_validator |     INFO | logger.py:86 | info() | 設定の検証を開始 | Data: {"config_keys": ["environment", "robot", "rewards", "termination", "training", "save", "evaluation", "logging"]}
2025-09-21 10:18:15,633 | config_validator |  WARNING | logger.py:93 | warning() | ファイルが見つかりません: bittle.urdf
2025-09-21 10:18:15,633 | config_validator |     INFO | logger.py:86 | info() | 設定の検証が成功しました
2025-09-21 10:18:15,827 | config_validator |     INFO | logger.py:86 | info() | 設定の検証を開始 | Data: {"config_keys": ["environment", "robot", "rewards", "termination", "training", "save", "evaluation", "logging"]}
2025-09-21 10:18:15,827 | config_validator |  WARNING | logger.py:93 | warning() | ファイルが見つかりません: bittle.urdf
2025-09-21 10:18:15,827 | config_validator |     INFO | logger.py:86 | info() | 設定の検証が成功しました
2025-09-21 10:18:16,020 | config_validator |     INFO | logger.py:86 | info() | 設定の検証を開始 | Data: {"config_keys": ["environment", "robot", "rewards", "termination", "training", "save", "evaluation", "logging"]}
2025-09-21 10:18:16,020 | config_validator |  WARNING | logger.py:93 | warning() | ファイルが見つかりません: bittle.urdf
2025-09-21 10:18:16,020 | config_validator |     INFO | logger.py:86 | info() | 設定の検証が成功しました
2025-09-21 10:18:16,214 | config_validator |     INFO | logger.py:86 | info() | 設定の検証を開始 | Data: {"config_keys": ["environment", "robot", "rewards", "termination", "training", "save", "evaluation", "logging"]}
2025-09-21 10:18:16,214 | config_validator |  WARNING | logger.py:93 | warning() | ファイルが見つかりません: bittle.urdf
2025-09-21 10:18:16,214 | config_validator |     INFO | logger.py:86 | info() | 設定の検証が成功しました
2025-09-21 10:18:16,408 | config_validator |     INFO | logger.py:86 | info() | 設定の検証を開始 | Data: {"config_keys": ["environment", "robot", "rewards", "termination", "training", "save", "evaluation", "logging"]}
2025-09-21 10:18:16,409 | config_validator |  WARNING | logger.py:93 | warning() | ファイルが見つかりません: bittle.urdf
2025-09-21 10:18:16,409 | config_validator |     INFO | logger.py:86 | info() | 設定の検証が成功しました
