2025-09-21 19:12:05,145 | config_validator |     INFO | logger.py:86 | info() | === ログセッション開始: 2025-09-21 19:12:05.145526 ===
2025-09-21 19:12:05,146 | config_validator |     INFO | logger.py:86 | info() | 設定ファイルの読み込み | Data: {"config_path": "configs/default.yaml"}
2025-09-21 19:12:05,148 | config_validator |     INFO | logger.py:86 | info() | 設定の検証を開始 | Data: {"config_keys": ["environment", "robot", "rewards", "termination", "training", "save", "evaluation", "logging"]}
2025-09-21 19:12:05,148 | config_validator |  WARNING | logger.py:93 | warning() | ファイルが見つかりません: bittle.urdf
2025-09-21 19:12:05,148 | config_validator |     INFO | logger.py:86 | info() | 設定の検証が成功しました
2025-09-21 19:12:05,148 | config_validator |     INFO | logger.py:86 | info() | 設定の検証を開始 | Data: {"config_keys": ["environment", "robot", "rewards", "termination", "training", "save", "evaluation", "logging"]}
2025-09-21 19:12:05,148 | config_validator |  WARNING | logger.py:93 | warning() | ファイルが見つかりません: bittle.urdf
2025-09-21 19:12:05,148 | config_validator |     INFO | logger.py:86 | info() | 設定の検証が成功しました
2025-09-21 19:12:05,514 | config_validator |     INFO | logger.py:86 | info() | 設定の検証を開始 | Data: {"config_keys": ["environment", "robot", "rewards", "termination", "training", "save", "evaluation", "logging"]}
2025-09-21 19:12:05,514 | config_validator |  WARNING | logger.py:93 | warning() | ファイルが見つかりません: bittle.urdf
2025-09-21 19:12:05,514 | config_validator |     INFO | logger.py:86 | info() | 設定の検証が成功しました
2025-09-21 19:12:05,707 | config_validator |     INFO | logger.py:86 | info() | 設定の検証を開始 | Data: {"config_keys": ["environment", "robot", "rewards", "termination", "training", "save", "evaluation", "logging"]}
2025-09-21 19:12:05,707 | config_validator |  WARNING | logger.py:93 | warning() | ファイルが見つかりません: bittle.urdf
2025-09-21 19:12:05,707 | config_validator |     INFO | logger.py:86 | info() | 設定の検証が成功しました
2025-09-21 19:12:05,900 | config_validator |     INFO | logger.py:86 | info() | 設定の検証を開始 | Data: {"config_keys": ["environment", "robot", "rewards", "termination", "training", "save", "evaluation", "logging"]}
2025-09-21 19:12:05,900 | config_validator |  WARNING | logger.py:93 | warning() | ファイルが見つかりません: bittle.urdf
2025-09-21 19:12:05,900 | config_validator |     INFO | logger.py:86 | info() | 設定の検証が成功しました
2025-09-21 19:12:06,091 | config_validator |     INFO | logger.py:86 | info() | 設定の検証を開始 | Data: {"config_keys": ["environment", "robot", "rewards", "termination", "training", "save", "evaluation", "logging"]}
2025-09-21 19:12:06,091 | config_validator |  WARNING | logger.py:93 | warning() | ファイルが見つかりません: bittle.urdf
2025-09-21 19:12:06,091 | config_validator |     INFO | logger.py:86 | info() | 設定の検証が成功しました
2025-09-21 19:12:06,280 | config_validator |     INFO | logger.py:86 | info() | 設定の検証を開始 | Data: {"config_keys": ["environment", "robot", "rewards", "termination", "training", "save", "evaluation", "logging"]}
2025-09-21 19:12:06,280 | config_validator |  WARNING | logger.py:93 | warning() | ファイルが見つかりません: bittle.urdf
2025-09-21 19:12:06,280 | config_validator |     INFO | logger.py:86 | info() | 設定の検証が成功しました
2025-09-21 19:12:06,473 | config_validator |     INFO | logger.py:86 | info() | 設定の検証を開始 | Data: {"config_keys": ["environment", "robot", "rewards", "termination", "training", "save", "evaluation", "logging"]}
2025-09-21 19:12:06,473 | config_validator |  WARNING | logger.py:93 | warning() | ファイルが見つかりません: bittle.urdf
2025-09-21 19:12:06,473 | config_validator |     INFO | logger.py:86 | info() | 設定の検証が成功しました
2025-09-21 19:12:06,664 | config_validator |     INFO | logger.py:86 | info() | 設定の検証を開始 | Data: {"config_keys": ["environment", "robot", "rewards", "termination", "training", "save", "evaluation", "logging"]}
2025-09-21 19:12:06,665 | config_validator |  WARNING | logger.py:93 | warning() | ファイルが見つかりません: bittle.urdf
2025-09-21 19:12:06,665 | config_validator |     INFO | logger.py:86 | info() | 設定の検証が成功しました
2025-09-21 19:12:06,853 | config_validator |     INFO | logger.py:86 | info() | 設定の検証を開始 | Data: {"config_keys": ["environment", "robot", "rewards", "termination", "training", "save", "evaluation", "logging"]}
2025-09-21 19:12:06,853 | config_validator |  WARNING | logger.py:93 | warning() | ファイルが見つかりません: bittle.urdf
2025-09-21 19:12:06,853 | config_validator |     INFO | logger.py:86 | info() | 設定の検証が成功しました
2025-09-21 19:12:07,041 | config_validator |     INFO | logger.py:86 | info() | 設定の検証を開始 | Data: {"config_keys": ["environment", "robot", "rewards", "termination", "training", "save", "evaluation", "logging"]}
2025-09-21 19:12:07,041 | config_validator |  WARNING | logger.py:93 | warning() | ファイルが見つかりません: bittle.urdf
2025-09-21 19:12:07,041 | config_validator |     INFO | logger.py:86 | info() | 設定の検証が成功しました
