2025-09-20 10:21:32,127 | config_validator |     INFO | logger.py:86 | info() | === ログセッション開始: 2025-09-20 10:21:32.127644 ===
2025-09-20 10:21:32,128 | config_validator |     INFO | logger.py:86 | info() | 設定ファイルの読み込み | Data: {"config_path": "configs/production.yaml"}
2025-09-20 10:21:32,130 | config_validator |     INFO | logger.py:86 | info() | 設定の検証を開始 | Data: {"config_keys": ["environment", "robot", "rewards", "termination", "training", "save", "evaluation", "logging"]}
2025-09-20 10:21:32,130 | config_validator |  WARNING | logger.py:93 | warning() | ファイルが見つかりません: bittle.urdf
2025-09-20 10:21:32,130 | config_validator |     INFO | logger.py:86 | info() | 設定の検証が成功しました
2025-09-20 10:21:32,130 | config_validator |     INFO | logger.py:86 | info() | 設定の検証を開始 | Data: {"config_keys": ["environment", "robot", "rewards", "termination", "training", "save", "evaluation", "logging"]}
2025-09-20 10:21:32,130 | config_validator |  WARNING | logger.py:93 | warning() | ファイルが見つかりません: bittle.urdf
2025-09-20 10:21:32,130 | config_validator |     INFO | logger.py:86 | info() | 設定の検証が成功しました
2025-09-20 10:21:32,488 | config_validator |     INFO | logger.py:86 | info() | 設定の検証を開始 | Data: {"config_keys": ["environment", "robot", "rewards", "termination", "training", "save", "evaluation", "logging"]}
2025-09-20 10:21:32,489 | config_validator |  WARNING | logger.py:93 | warning() | ファイルが見つかりません: bittle.urdf
2025-09-20 10:21:32,489 | config_validator |     INFO | logger.py:86 | info() | 設定の検証が成功しました
